0;STE;COMPOSICAO DOS FRETES DOS CTRCS;CLIENTE ;FATURAS:  000000 A  000000
1;NUMERO CTRC;CTRC ORIGEM;VLR FRETE ORIGEM;TDC CTRC ORIGEM;TDE CTRC ORIGEM;TAR CTRC ORIGEM;TRT CTRC ORIGEM;TDA CTRC ORIGEM;ICMS ORIGEM;NUMERO CT-E;NUMERO NFPS;PRACA EXPEDIDORA;CODIGO DE BARRAS DACTE;TIPO DOCUMENTO;PLACA DE COLETA;DATA EMISSAO;DATA AUTORIZACAO;CLIENTE REMETENTE;CNPJ REMETENTE;ENDERECO REMETENTE;CEP REMETENTE;CIDADE REMETENTE;UF REMETENTE;CLIENTE EXPEDIDOR;CNPJ EXPEDIDOR;ENDERECO EXPEDIDOR;CEP EXPEDIDOR;CIDADE EXPEDIDOR;UF EXPEDIDOR;CLIENTE DESTINATARIO;CNPJ DESTINATARIO;ENDERECO DESTINATARIO;CIDADE DESTINATARIO;UF DESTINATARIO;CEP DESTINATARIO;ENTREGA DIFICIL;PRACA ENTREGA;RECEBEDOR;CNPJ RECEBEDOR;ENDERECO RECEBEDOR;CIDADE ENTREGA;UF ENTREGA;CEP ENTREGA;CLIENTE PAGADOR;CNPJ PAGADOR;ENDERECO PAGADOR;CIDADE PAGADOR;UF PAGADOR;CEP PAGADOR;VENDEDOR;TIPO DE MERCADORIA;SERIE DA NOTA FISCAL;NOTA FISCAL;DEMAIS NOTAS FISCAIS;VAL MERCADORIA;QTDE VOL;PESO REAL;M3;PESO CALC;FRETE PESO;FRETE VALOR;FRETE ENTREGA;SEPARACAO;CAPATAZIA;VEICULO DEDICADO;PALETIZACAO;DESPACHO;CAT;ITR;GRIS;POS;PEDAGIO;TAS;TDA;SUFRAMA;DEV CANH NF;REEMBOLSO;OUTROS;COLETA;ENTREGA;TDC;TDE;ADIC FRETE;TRT;TAR;AGENDAMENTO;IMPOSTOS REPAS;VAL CALCULADO;ALIQUOTA;BASE CALC;VAL RECEBER;ICMS TRANSP;ICMS SUBST;TIPO DE CALCULO;CODIGO TABELA;NUMERO DA FATURA;SITUACAO DE LIQUIDACAO;NUMERO DO PEDIDO;IMAGEM DO COMPROVANTE;DATA ENTREGA;COD IBGE CIDADE ORIGEM;COD IBGE CIDADE DESTINO
2;MGT051897-2;001     72787;    160,67;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 001000051154;000000000;MGTI;33230744168651000160570010000511541003412980 ;SUBC FORM CTRC;STL0001;04/07/2023;04/07/2023;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;JUMA COMERCIO DE MOVEIS EIRELLI - 57583;34859169000202;AV. PASTOR MA,126-BLC1 SAL358A;RIO DE JANEIRO;RJ;20765000;N;TSLP;CROTS INDUSTRIA DE MOVEIS LTDA;21500166000147;ESTRADA DO OUTEIRO SANTO , 371;RIO DE JANEIRO;RJ;22713169;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;UBA;MG;36509100;;DIVERSOS;1  ;000297780;;      2.677,87;        16;   326,000;     0,000;   326,000;    160,67;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 12,00;    160,67;    160,67;      0,00;      0,00;INFORMADO;;0003626;NAO LIQUIDADO;;https://ssw.inf.br/cgi-local/ssw0637?sigla=STE&s=341298&img=4D475430353138393732;04/07/23;3169901;3304557
2;MGT051898-1;001     72788;    269,96;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 001000051155;000000000;MGTI;33230744168651000160570010000511551003412995 ;SUBC FORM CTRC;STL0001;04/07/2023;04/07/2023;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;JUMA COMERCIO DE MOVEIS EIRELLI - 57583;34859169000202;AV. PASTOR MA,126-BLC1 SAL358A;RIO DE JANEIRO;RJ;20765000;N;TSLP;CROTS INDUSTRIA DE MOVEIS LTDA;21500166000147;ESTRADA DO OUTEIRO SANTO , 371;RIO DE JANEIRO;RJ;22713169;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;UBA;MG;36509100;;DIVERSOS;1  ;000297779;;      4.499,47;        22;   585,400;     0,000;   585,400;    269,96;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 12,00;    269,96;    269,96;      0,00;      0,00;INFORMADO;;0003626;NAO LIQUIDADO;;https://ssw.inf.br/cgi-local/ssw0637?sigla=STE&s=341299&img=4D475430353138393831;04/07/23;3169901;3304557
2;MGT051899-9;001     72789;    129,26;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 001000051156;000000000;MGTI;33230744168651000160570010000511561003413000 ;SUBC FORM CTRC;STL0001;04/07/2023;04/07/2023;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;ZENI MOVEIS E DECORACOES EIRELI;26796309000123;AV JOSE ,200-BLOCO 07 SALA 417;RIO DE JANEIRO;RJ;22775056;N;TSLP;CROTS INDUSTRIA DE MOVEIS LTDA;21500166000147;ESTRADA DO OUTEIRO SANTO , 371;RIO DE JANEIRO;RJ;22713169;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;UBA;MG;36509100;;DIVERSOS;1  ;000297778;;      2.154,37;        10;   277,300;     0,000;   277,300;    129,26;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 12,00;    129,26;    129,26;      0,00;      0,00;INFORMADO;;0003626;NAO LIQUIDADO;;https://ssw.inf.br/cgi-local/ssw0637?sigla=STE&s=341300&img=4D475430353138393939;04/07/23;3169901;3304557
2;MGT051900-6;001     72790;    217,73;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 001000051157;000000000;MGTI;33230744168651000160570010000511571003413015 ;SUBC FORM CTRC;STL0001;04/07/2023;04/07/2023;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;JUMA COMERCIO DE MOVEIS EIRELLI - 57583;34859169000202;AV. PASTOR MA,126-BLC1 SAL358A;RIO DE JANEIRO;RJ;20765000;N;TSLP;CROTS INDUSTRIA DE MOVEIS LTDA;21500166000147;ESTRADA DO OUTEIRO SANTO , 371;RIO DE JANEIRO;RJ;22713169;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;UBA;MG;36509100;;DIVERSOS;1  ;000297777;;      3.628,88;        14;   459,400;     0,000;   459,400;    217,73;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 12,00;    217,73;    217,73;      0,00;      0,00;INFORMADO;;0003626;NAO LIQUIDADO;;https://ssw.inf.br/cgi-local/ssw0637?sigla=STE&s=341301&img=4D475430353139303036;04/07/23;3169901;3304557
2;MGT051901-4;001     72791;     49,64;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 001000051158;000000000;MGTI;33230744168651000160570010000511581003413020 ;SUBC FORM CTRC;STL0001;04/07/2023;04/07/2023;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;ZENI MOVEIS E DECORACOES EIRELI;26796309000123;AV JOSE ,200-BLOCO 07 SALA 417;RIO DE JANEIRO;RJ;22775056;N;TSLP;CROTS INDUSTRIA DE MOVEIS LTDA;21500166000147;ESTRADA DO OUTEIRO SANTO , 371;RIO DE JANEIRO;RJ;22713169;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;UBA;MG;36509100;;DIVERSOS;1  ;000297776;;        827,44;         4;   112,200;     0,000;   112,200;     49,64;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 12,00;     49,64;     49,64;      0,00;      0,00;INFORMADO;;0003626;NAO LIQUIDADO;;https://ssw.inf.br/cgi-local/ssw0637?sigla=STE&s=341302&img=4D475430353139303134;04/07/23;3169901;3304557
2;MGT051902-2;001     72792;     16,93;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 001000051159;000000000;MGTI;33230744168651000160570010000511591003413036 ;SUBC FORM CTRC;STL0001;04/07/2023;04/07/2023;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;JUMA COMERCIO DE MOVEIS EIRELLI - 57583;34859169000202;AV. PASTOR MA,126-BLC1 SAL358A;RIO DE JANEIRO;RJ;20765000;N;TSLP;CROTS INDUSTRIA DE MOVEIS LTDA;21500166000147;ESTRADA DO OUTEIRO SANTO , 371;RIO DE JANEIRO;RJ;22713169;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;UBA;MG;36509100;;DIVERSOS;1  ;000297775;;        282,29;         2;    39,000;     0,000;    39,000;     16,93;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 12,00;     16,93;     16,93;      0,00;      0,00;INFORMADO;;0003626;NAO LIQUIDADO;;https://ssw.inf.br/cgi-local/ssw0637?sigla=STE&s=341303&img=4D475430353139303232;04/07/23;3169901;3304557
2;MGT051903-1;001     72793;     50,41;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 001000051160;000000000;MGTI;33230744168651000160570010000511601003413045 ;SUBC FORM CTRC;STL0001;04/07/2023;04/07/2023;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;ZENI MOVEIS E DECORACOES EIRELI;26796309000123;AV JOSE ,200-BLOCO 07 SALA 417;RIO DE JANEIRO;RJ;22775056;N;TSLP;CROTS INDUSTRIA DE MOVEIS LTDA;21500166000147;ESTRADA DO OUTEIRO SANTO , 371;RIO DE JANEIRO;RJ;22713169;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;UBA;MG;36509100;;DIVERSOS;1  ;000297774;;        840,19;         3;   105,100;     0,000;   105,100;     50,41;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 12,00;     50,41;     50,41;      0,00;      0,00;INFORMADO;;0003626;NAO LIQUIDADO;;https://ssw.inf.br/cgi-local/ssw0637?sigla=STE&s=341304&img=4D475430353139303331;04/07/23;3169901;3304557
2;MGT051904-9;001     72794;     25,54;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 001000051161;000000000;MGTI;33230744168651000160570010000511611003413050 ;SUBC FORM CTRC;STL0001;04/07/2023;04/07/2023;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;JUMA COMERCIO DE MOVEIS EIRELLI - 57583;34859169000202;AV. PASTOR MA,126-BLC1 SAL358A;RIO DE JANEIRO;RJ;20765000;N;TSLP;CROTS INDUSTRIA DE MOVEIS LTDA;21500166000147;ESTRADA DO OUTEIRO SANTO , 371;RIO DE JANEIRO;RJ;22713169;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;UBA;MG;36509100;;DIVERSOS;1  ;000297773;;        425,74;         4;    54,000;     0,000;    54,000;     25,54;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 12,00;     25,54;     25,54;      0,00;      0,00;INFORMADO;;0003626;NAO LIQUIDADO;;https://ssw.inf.br/cgi-local/ssw0637?sigla=STE&s=341305&img=4D475430353139303439;04/07/23;3169901;3304557
2;MGT051905-7;001     72795;    132,78;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 001000051162;000000000;MGTI;33230744168651000160570010000511621003413066 ;SUBC FORM CTRC;STL0001;04/07/2023;04/07/2023;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;ARTE VIVA MOVEIS E DECORACOES EIRELI - 2493;07140077000106;AVENIDA MARACAN,987-BL 4,LJ 35;RIO DE JANEIRO;RJ;20511000;N;TSLP;CROTS INDUSTRIA DE MOVEIS LTDA;21500166000147;ESTRADA DO OUTEIRO SANTO , 371;RIO DE JANEIRO;RJ;22713169;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;UBA;MG;36509100;;DIVERSOS;1  ;000297772;;      2.213,10;         9;   276,800;     0,000;   276,800;    132,78;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 12,00;    132,78;    132,78;      0,00;      0,00;INFORMADO;;0003626;NAO LIQUIDADO;;https://ssw.inf.br/cgi-local/ssw0637?sigla=STE&s=341306&img=4D475430353139303537;04/07/23;3169901;3304557
2;MGT051906-5;001     72796;    169,46;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 001000051163;000000000;MGTI;33230744168651000160570010000511631003413071 ;SUBC FORM CTRC;STL0001;04/07/2023;04/07/2023;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;36509100;UBA;MG;ZENI MOVEIS E DECORACOES EIRELI;26796309000123;AV JOSE ,200-BLOCO 07 SALA 417;RIO DE JANEIRO;RJ;22775056;N;TSLP;CROTS INDUSTRIA DE MOVEIS LTDA;21500166000147;ESTRADA DO OUTEIRO SANTO , 371;RIO DE JANEIRO;RJ;22713169;CAROLINA TRANSPORTES LTDA - ME;07952532000178;RUA SANTA MARIA,951;UBA;MG;36509100;;DIVERSOS;1  ;000297771;;      2.824,37;         8;   342,400;     0,000;   342,400;    169,46;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00;      0,00; 12,00;    169,46;    169,46;      0,00;      0,00;INFORMADO;;0003626;NAO LIQUIDADO;;https://ssw.inf.br/cgi-local/ssw0637?sigla=STE&s=341307&img=4D475430353139303635;04/07/23;3169901;3304557
